feature,dtype,n_unique,unique_ratio,missing_count,missing_pct,most_frequent_non_missing_value,most_frequent_non_missing_pct,minimum,median,maximum,zero_pct,negative_pct,infinite_count
ELEVATORS_MEDI,float64,46,0.00014958814481433184,163891,53.29597965601231,0.0,60.59462470408021,0.0,0.0,1.0,28.300125849156615,0.0,0.0
ELEVATORS_AVG,float64,257,0.0008357424612452888,163891,53.29597965601231,0.0,59.68388803787773,0.0,0.0,1.0,27.874775211293258,0.0,0.0
ELEVATORS_MODE,float64,26,8.454982098201365e-05,163891,53.29597965601231,0.0,62.31583344938031,0.0,0.0,1.0,29.103999531724067,0.0,0.0
WALLSMATERIAL_MODE,object,7,2.276341334131137e-05,156341,50.8407829313423,Panel,43.685916517827614,,,,,,
APARTMENTS_MEDI,float64,1148,0.0037331997879750645,156061,50.74972927797705,0.0833,4.693958402112909,0.0,0.0864,1.0,0.2507227383735866,0.0,0.0
APARTMENTS_AVG,float64,2339,0.007606231972189612,156061,50.74972927797705,0.0825,4.399471772862331,0.0,0.0876,1.0,0.24421890599035484,0.0,0.0
APARTMENTS_MODE,float64,760,0.0024714563056280913,156061,50.74972927797705,0.084,4.966655661934632,0.0,0.084,1.0,0.3173870203017128,0.0,0.0
ENTRANCES_MEDI,float64,46,0.00014958814481433184,154828,50.3487680115508,0.1379,23.273710891192863,0.0,0.1379,1.0,0.10698804270416343,0.0,0.0
ENTRANCES_AVG,float64,285,0.0009267961146105343,154828,50.3487680115508,0.1379,22.272944597630385,0.0,0.1379,1.0,0.10503689298919389,0.0,0.0
ENTRANCES_MODE,float64,30,9.755748574847729e-05,154828,50.3487680115508,0.1379,23.605116483171017,0.0,0.1379,1.0,0.1258491566155357,0.0,0.0
LIVINGAREA_AVG,float64,5199,0.016906712280211116,154350,50.193326417591564,0.0,0.18542579377256613,0.0,0.0745,1.0,0.09235441984189183,0.0,0.0
LIVINGAREA_MODE,float64,5301,0.017238407731755938,154350,50.193326417591564,0.0,0.28989102970077235,0.0,0.0731,1.0,0.1443850789077464,0.0,0.0
LIVINGAREA_MEDI,float64,5281,0.01717336940792362,154350,50.193326417591564,0.0,0.19521940964083545,0.0,0.0749,1.0,0.0972322941293157,0.0,0.0
HOUSETYPE_MODE,object,3,9.755748574847729e-06,154297,50.176091261776,block of flats,98.230579450964,,,,,,
FLOORSMAX_MODE,float64,25,8.129790479039775e-05,153020,49.76082156410665,0.1667,42.42965609647164,0.0,0.1667,1.0,1.1105293794368332,0.0,0.0
FLOORSMAX_MEDI,float64,49,0.00015934389338917958,153020,49.76082156410665,0.1667,41.17197765565631,0.0,0.1667,1.0,0.9739488993889649,0.0,0.0
FLOORSMAX_AVG,float64,403,0.0013105222252212116,153020,49.76082156410665,0.1667,40.05087675010195,0.0,0.1667,1.0,0.9554129770967543,0.0,0.0
YEARS_BEGINEXPLUATATION_MODE,float64,221,0.000718673478347116,150007,48.781019215572776,0.9871,2.7243752539618042,0.0,0.9816,1.0,0.046177209920945914,0.0,0.0
YEARS_BEGINEXPLUATATION_MEDI,float64,245,0.0007967194669458978,150007,48.781019215572776,0.9871,2.738978057700122,0.0,0.9816,1.0,0.17820500730055186,0.0,0.0
YEARS_BEGINEXPLUATATION_AVG,float64,285,0.0009267961146105343,150007,48.781019215572776,0.9871,2.737073344169037,0.0,0.9816,1.0,0.16714849224905776,0.0,0.0
TOTALAREA_MODE,float64,5116,0.016636803236306993,148431,48.26851722377411,0.0,0.3658536585365854,0.0,0.0688,1.0,0.18926152235204594,0.0,0.0
EMERGENCYSTATE_MODE,object,2,6.503832383231819e-06,145755,47.39830445089769,No,98.560795271891,,,,,,
OCCUPATION_TYPE,object,18,5.8534491449086374e-05,96391,31.345545362604916,Laborers,26.13963622584312,,,,,,
EXT_SOURCE_3,float64,814,0.0026470597799753506,60965,19.825307062186393,0.746300213050371,0.5921815807192167,0.0005272652387098,0.5352762504724826,0.8960095494948396,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,float64,5,1.6259580958079547e-05,41519,13.501630835970097,0.0,99.38870341965172,0.0,0.0,4.0,85.96960759127316,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,float64,9,2.9267245724543187e-05,41519,13.501630835970097,0.0,99.44020872808204,0.0,0.0,9.0,86.0141588430983,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,float64,9,2.9267245724543187e-05,41519,13.501630835970097,0.0,96.79088092874973,0.0,0.0,8.0,83.72253350286657,0.0,0.0
AMT_REQ_CREDIT_BUREAU_MON,float64,24,7.804598859878183e-05,41519,13.501630835970097,0.0,83.54875334596528,0.0,0.0,27.0,72.26830910113785,0.0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,float64,11,3.577107810777501e-05,41519,13.501630835970097,0.0,80.98627026376734,0.0,0.0,261.0,70.05180302493244,0.0,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,float64,25,8.129790479039775e-05,41519,13.501630835970097,0.0,26.993668982525794,0.0,1.0,25.0,23.349083447421393,0.0,0.0
NAME_TYPE_SUITE,object,7,2.276341334131137e-05,1292,0.42014757195677555,Unaccompanied,81.15956227405876,,,,,,
OBS_30_CNT_SOCIAL_CIRCLE,float64,33,0.00010731323432332502,1021,0.3320206431639844,0.0,53.47972201376881,0.0,0.0,348.0,53.30215829677638,0.0,0.0
DEF_30_CNT_SOCIAL_CIRCLE,float64,10,3.2519161916159095e-05,1021,0.3320206431639844,0.0,88.5262161897615,0.0,0.0,34.0,88.2322908773995,0.0,0.0
OBS_60_CNT_SOCIAL_CIRCLE,float64,33,0.00010731323432332502,1021,0.3320206431639844,0.0,53.7263858527195,0.0,0.0,344.0,53.548003160862535,0.0,0.0
DEF_60_CNT_SOCIAL_CIRCLE,float64,9,2.9267245724543187e-05,1021,0.3320206431639844,0.0,91.59222160592515,0.0,0.0,24.0,91.28811652266097,0.0,0.0
EXT_SOURCE_2,float64,119831,0.3896803691575261,660,0.21462646864665005,0.2858978721410488,0.23496745977689498,8.173616518884397e-08,0.5659614260608526,0.8549996664047012,0.0,0.0,0.0
AMT_GOODS_PRICE,float64,1002,0.0032584200239991414,278,0.09040327012692229,450000.0,8.469793283924579,40500.0,450000.0,4050000.0,0.0,0.0,0.0
AMT_ANNUITY,float64,13672,0.04446019817177272,12,0.003902299429939092,9000.0,2.0764295168439575,1615.5,24903.0,258025.5,0.0,0.0,0.0
CNT_FAM_MEMBERS,float64,17,5.528257525747047e-05,2,0.0006503832383231819,2.0,51.49670416150421,1.0,2.0,20.0,0.0,0.0,0.0
DAYS_LAST_PHONE_CHANGE,float64,3773,0.012269479790966827,1,0.00032519161916159093,0.0,12.250658515170239,-4292.0,-757.0,0.0,12.250618677055455,87.74905613132539,0.0
CNT_CHILDREN,int64,15,4.8778742874238645e-05,0,0.0,0,70.03684421045101,0.0,0.0,19.0,70.03684421045101,0.0,0.0
FLAG_DOCUMENT_8,int64,2,6.503832383231819e-06,0,0.0,0,91.86240492210035,0.0,0.0,1.0,91.86240492210035,0.0,0.0
NAME_CONTRACT_TYPE,object,2,6.503832383231819e-06,0,0.0,Cash loans,90.47871458256778,,,,,,
CODE_GENDER,object,3,9.755748574847729e-06,0,0.0,F,65.83439291602576,,,,,,
FLAG_OWN_CAR,object,2,6.503832383231819e-06,0,0.0,N,65.98918412674668,,,,,,
FLAG_DOCUMENT_2,int64,2,6.503832383231819e-06,0,0.0,0,99.99577250895089,0.0,0.0,1.0,99.99577250895089,0.0,0.0
FLAG_DOCUMENT_3,int64,2,6.503832383231819e-06,0,0.0,1,71.00233812774177,0.0,1.0,1.0,28.997661872258227,0.0,0.0
FLAG_DOCUMENT_4,int64,2,6.503832383231819e-06,0,0.0,0,99.99187020952095,0.0,0.0,1.0,99.99187020952095,0.0,0.0
FLAG_DOCUMENT_5,int64,2,6.503832383231819e-06,0,0.0,0,98.48850935413692,0.0,0.0,1.0,98.48850935413692,0.0,0.0
FLAG_DOCUMENT_6,int64,2,6.503832383231819e-06,0,0.0,0,91.19446133634244,0.0,0.0,1.0,91.19446133634244,0.0,0.0
FLAG_DOCUMENT_7,int64,2,6.503832383231819e-06,0,0.0,0,99.98081369446946,0.0,0.0,1.0,99.98081369446946,0.0,0.0
FLAG_DOCUMENT_9,int64,2,6.503832383231819e-06,0,0.0,0,99.61042044024441,0.0,0.0,1.0,99.61042044024441,0.0,0.0
FLAG_DOCUMENT_21,int64,2,6.503832383231819e-06,0,0.0,0,99.96650526322635,0.0,0.0,1.0,99.96650526322635,0.0,0.0
FLAG_DOCUMENT_10,int64,2,6.503832383231819e-06,0,0.0,0,99.99772365866588,0.0,0.0,1.0,99.99772365866588,0.0,0.0
FLAG_DOCUMENT_11,int64,2,6.503832383231819e-06,0,0.0,0,99.60879448214861,0.0,0.0,1.0,99.60879448214861,0.0,0.0
FLAG_OWN_REALTY,object,2,6.503832383231819e-06,0,0.0,Y,69.3672746665973,,,,,,
FLAG_DOCUMENT_13,int64,2,6.503832383231819e-06,0,0.0,0,99.64749228482883,0.0,0.0,1.0,99.64749228482883,0.0,0.0
FLAG_DOCUMENT_14,int64,2,6.503832383231819e-06,0,0.0,0,99.70635196789709,0.0,0.0,1.0,99.70635196789709,0.0,0.0
FLAG_DOCUMENT_15,int64,2,6.503832383231819e-06,0,0.0,0,99.87902871767189,0.0,0.0,1.0,99.87902871767189,0.0,0.0
FLAG_DOCUMENT_16,int64,2,6.503832383231819e-06,0,0.0,0,99.00718998669966,0.0,0.0,1.0,99.00718998669966,0.0,0.0
FLAG_DOCUMENT_17,int64,2,6.503832383231819e-06,0,0.0,0,99.97333428722875,0.0,0.0,1.0,99.97333428722875,0.0,0.0
FLAG_DOCUMENT_18,int64,2,6.503832383231819e-06,0,0.0,0,99.18702095209603,0.0,0.0,1.0,99.18702095209603,0.0,0.0
FLAG_DOCUMENT_19,int64,2,6.503832383231819e-06,0,0.0,0,99.94048993369343,0.0,0.0,1.0,99.94048993369343,0.0,0.0
FLAG_DOCUMENT_20,int64,2,6.503832383231819e-06,0,0.0,0,99.9492701074108,0.0,0.0,1.0,99.9492701074108,0.0,0.0
FLAG_DOCUMENT_12,int64,2,6.503832383231819e-06,0,0.0,0,99.99934961676168,0.0,0.0,1.0,99.99934961676168,0.0,0.0
AMT_CREDIT,float64,5603,0.01822048642162394,0,0.0,450000.0,3.1572854304398863,45000.0,513531.0,4050000.0,0.0,0.0,0.0
AMT_INCOME_TOTAL,float64,2548,0.008285882456237337,0,0.0,135000.0,11.625600385026877,25650.0,147150.0,117000000.0,0.0,0.0,0.0
FLAG_PHONE,int64,2,6.503832383231819e-06,0,0.0,0,71.89336316424453,0.0,0.0,1.0,71.89336316424453,0.0,0.0
LIVE_CITY_NOT_WORK_CITY,int64,2,6.503832383231819e-06,0,0.0,0,82.04454474799276,0.0,0.0,1.0,82.04454474799276,0.0,0.0
REG_CITY_NOT_WORK_CITY,int64,2,6.503832383231819e-06,0,0.0,0,76.95464552487553,0.0,0.0,1.0,76.95464552487553,0.0,0.0
TARGET,int64,2,6.503832383231819e-06,0,0.0,0,91.92711805431351,0.0,0.0,1.0,91.92711805431351,0.0,0.0
REG_CITY_NOT_LIVE_CITY,int64,2,6.503832383231819e-06,0,0.0,0,92.18271866697452,0.0,0.0,1.0,92.18271866697452,0.0,0.0
LIVE_REGION_NOT_WORK_REGION,int64,2,6.503832383231819e-06,0,0.0,0,95.93412918562262,0.0,0.0,1.0,95.93412918562262,0.0,0.0
REG_REGION_NOT_WORK_REGION,int64,2,6.503832383231819e-06,0,0.0,0,94.92310844164923,0.0,0.0,1.0,94.92310844164923,0.0,0.0
REG_REGION_NOT_LIVE_REGION,int64,2,6.503832383231819e-06,0,0.0,0,98.48558262956448,0.0,0.0,1.0,98.48558262956448,0.0,0.0
HOUR_APPR_PROCESS_START,int64,24,7.804598859878183e-05,0,0.0,10,12.266878258013534,0.0,12.0,23.0,0.013007664766463638,0.0,0.0
WEEKDAY_APPR_PROCESS_START,object,7,2.276341334131137e-05,0,0.0,TUESDAY,17.528153464428915,,,,,,
REGION_RATING_CLIENT_W_CITY,int64,3,9.755748574847729e-06,0,0.0,2,74.62627353167855,1.0,2.0,3.0,0.0,0.0,0.0
REGION_RATING_CLIENT,int64,3,9.755748574847729e-06,0,0.0,2,73.81329448377456,1.0,2.0,3.0,0.0,0.0,0.0
FLAG_EMAIL,int64,2,6.503832383231819e-06,0,0.0,0,94.32800777858354,0.0,0.0,1.0,94.32800777858354,0.0,0.0
FLAG_CONT_MOBILE,int64,2,6.503832383231819e-06,0,0.0,1,99.81334001060125,0.0,1.0,1.0,0.18665998939875322,0.0,0.0
ORGANIZATION_TYPE,object,58,0.00018861113911372275,0,0.0,Business Entity Type 3,22.110428570034895,,,,,,
FLAG_WORK_PHONE,int64,2,6.503832383231819e-06,0,0.0,0,80.06315221244118,0.0,0.0,1.0,80.06315221244118,0.0,0.0
FLAG_EMP_PHONE,int64,2,6.503832383231819e-06,0,0.0,1,81.98893698111613,0.0,1.0,1.0,18.011063018883878,0.0,0.0
FLAG_MOBIL,int64,2,6.503832383231819e-06,0,0.0,1,99.99967480838083,0.0,1.0,1.0,0.00032519161916159093,0.0,0.0
DAYS_ID_PUBLISH,int64,6168,0.02005781906988693,0,0.0,-4053,0.05495738363830887,-7197.0,-3254.0,0.0,0.005203065906585455,99.99479693409342,0.0
DAYS_REGISTRATION,float64,15688,0.05101606121407039,0,0.0,-1.0,0.03674665296525978,-24672.0,-4504.0,0.0,0.026015329532927275,99.97398467046708,0.0
DAYS_EMPLOYED,int64,12574,0.040889594193378447,0,0.0,365243,18.00716071945394,-17912.0,-1213.0,365243.0,0.0006503832383231819,81.99218889730774,0.0
DAYS_BIRTH,int64,17460,0.05677845670561378,0,0.0,-13749,0.013983239623948412,-25229.0,-15750.0,-7489.0,0.0,100.0,0.0
REGION_POPULATION_RELATIVE,float64,81,0.00026340521152088867,0,0.0,0.035792,5.335744087203385,0.00029,0.01885,0.072508,0.0,0.0,0.0
NAME_HOUSING_TYPE,object,6,1.9511497149695458e-05,0,0.0,House / apartment,88.73438673738501,,,,,,
NAME_FAMILY_STATUS,object,6,1.9511497149695458e-05,0,0.0,Married,63.87804013514964,,,,,,
NAME_EDUCATION_TYPE,object,5,1.6259580958079547e-05,0,0.0,Secondary / secondary special,71.01892290031901,,,,,,
NAME_INCOME_TYPE,object,8,2.6015329532927276e-05,0,0.0,Working,51.63197414076245,,,,,,
SK_ID_CURR,int64,307511,1.0,0,0.0,100002,0.00032519161916159093,100002.0,278202.0,456255.0,0.0,0.0,0.0
