position,transformed_feature,expected_as_categorical,fitted_as_categorical
179,numerical__missingindicator_OBS_30_CNT_SOCIAL_CIRCLE,False,False
180,numerical__missingindicator_DEF_30_CNT_SOCIAL_CIRCLE,False,False
181,numerical__missingindicator_OBS_60_CNT_SOCIAL_CIRCLE,False,False
182,numerical__missingindicator_DEF_60_CNT_SOCIAL_CIRCLE,False,False
183,numerical__missingindicator_DAYS_LAST_PHONE_CHANGE,False,False
184,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,False,False
185,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_DAY,False,False
186,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_WEEK,False,False
187,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_MON,False,False
188,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_QRT,False,False
189,numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_YEAR,False,False
190,numerical__missingindicator_EMPLOYMENT_YEARS,False,False
191,numerical__missingindicator_EMPLOYMENT_START_AGE,False,False
192,numerical__missingindicator_ANNUITY_INCOME_RATIO,False,False
193,numerical__missingindicator_CREDIT_GOODS_RATIO,False,False
194,numerical__missingindicator_ANNUITY_CREDIT_RATIO,False,False
195,numerical__missingindicator_INCOME_PER_PERSON,False,False
196,numerical__missingindicator_EMPLOYED_AGE_RATIO,False,False
