,missing_count,missing_pct,dtype
AMT_REQ_CREDIT_BUREAU_HOUR,33244,13.513381678644599,float64
AMT_REQ_CREDIT_BUREAU_DAY,33244,13.513381678644599,float64
AMT_REQ_CREDIT_BUREAU_WEEK,33244,13.513381678644599,float64
AMT_REQ_CREDIT_BUREAU_MON,33244,13.513381678644599,float64
AMT_REQ_CREDIT_BUREAU_QRT,33244,13.513381678644599,float64
AMT_REQ_CREDIT_BUREAU_YEAR,33244,13.513381678644599,float64
NAME_TYPE_SUITE,1029,0.41827908035511036,object
OBS_30_CNT_SOCIAL_CIRCLE,811,0.3296640759650093,float64
DEF_30_CNT_SOCIAL_CIRCLE,811,0.3296640759650093,float64
OBS_60_CNT_SOCIAL_CIRCLE,811,0.3296640759650093,float64
DEF_60_CNT_SOCIAL_CIRCLE,811,0.3296640759650093,float64
EXT_SOURCE_2,531,0.21584663913368668,float64
AMT_GOODS_PRICE,221,0.08983447692757959,float64
AMT_ANNUITY,10,0.00406490845826152,float64
CNT_FAM_MEMBERS,2,0.000812981691652304,float64
DAYS_LAST_PHONE_CHANGE,1,0.000406490845826152,float64
CNT_CHILDREN,0,0.0,int64
FLAG_DOCUMENT_8,0,0.0,int64
NAME_CONTRACT_TYPE,0,0.0,object
CODE_GENDER,0,0.0,object
FLAG_OWN_CAR,0,0.0,object
FLAG_DOCUMENT_2,0,0.0,int64
FLAG_DOCUMENT_3,0,0.0,int64
FLAG_DOCUMENT_4,0,0.0,int64
FLAG_DOCUMENT_5,0,0.0,int64
FLAG_DOCUMENT_6,0,0.0,int64
FLAG_DOCUMENT_7,0,0.0,int64
FLAG_DOCUMENT_9,0,0.0,int64
FLAG_DOCUMENT_21,0,0.0,int64
FLAG_DOCUMENT_10,0,0.0,int64
FLAG_DOCUMENT_11,0,0.0,int64
FLAG_OWN_REALTY,0,0.0,object
FLAG_DOCUMENT_13,0,0.0,int64
FLAG_DOCUMENT_14,0,0.0,int64
FLAG_DOCUMENT_15,0,0.0,int64
FLAG_DOCUMENT_16,0,0.0,int64
FLAG_DOCUMENT_17,0,0.0,int64
FLAG_DOCUMENT_18,0,0.0,int64
FLAG_DOCUMENT_19,0,0.0,int64
FLAG_DOCUMENT_20,0,0.0,int64
FLAG_DOCUMENT_12,0,0.0,int64
AMT_CREDIT,0,0.0,float64
AMT_INCOME_TOTAL,0,0.0,float64
FLAG_PHONE,0,0.0,int64
LIVE_CITY_NOT_WORK_CITY,0,0.0,int64
REG_CITY_NOT_WORK_CITY,0,0.0,int64
TARGET,0,0.0,int64
REG_CITY_NOT_LIVE_CITY,0,0.0,int64
LIVE_REGION_NOT_WORK_REGION,0,0.0,int64
REG_REGION_NOT_WORK_REGION,0,0.0,int64
REG_REGION_NOT_LIVE_REGION,0,0.0,int64
HOUR_APPR_PROCESS_START,0,0.0,int64
WEEKDAY_APPR_PROCESS_START,0,0.0,object
REGION_RATING_CLIENT_W_CITY,0,0.0,int64
REGION_RATING_CLIENT,0,0.0,int64
FLAG_EMAIL,0,0.0,int64
FLAG_CONT_MOBILE,0,0.0,int64
ORGANIZATION_TYPE,0,0.0,object
FLAG_WORK_PHONE,0,0.0,int64
FLAG_EMP_PHONE,0,0.0,int64
FLAG_MOBIL,0,0.0,int64
DAYS_ID_PUBLISH,0,0.0,int64
DAYS_REGISTRATION,0,0.0,float64
DAYS_EMPLOYED,0,0.0,int64
DAYS_BIRTH,0,0.0,int64
REGION_POPULATION_RELATIVE,0,0.0,float64
NAME_HOUSING_TYPE,0,0.0,object
NAME_FAMILY_STATUS,0,0.0,object
NAME_EDUCATION_TYPE,0,0.0,object
NAME_INCOME_TYPE,0,0.0,object
SK_ID_CURR,0,0.0,int64
