,feature,missing_count,observed_count,missing_pct,target_rate_when_missing,target_rate_when_observed,target_rate_difference,absolute_target_rate_difference,reliable_for_comparison
20,YEARS_BEGINEXPLUATATION_AVG,119949,126059,48.758170466001104,0.09193073722998941,0.07007036387723209,0.021860373352757326,0.021860373352757326,True
21,YEARS_BEGINEXPLUATATION_MODE,119949,126059,48.758170466001104,0.09193073722998941,0.07007036387723209,0.021860373352757326,0.021860373352757326,True
22,YEARS_BEGINEXPLUATATION_MEDI,119949,126059,48.758170466001104,0.09193073722998941,0.07007036387723209,0.021860373352757326,0.021860373352757326,True
23,APARTMENTS_AVG,124732,121276,50.702416181587594,0.09138793573421415,0.06976648306342557,0.021621452670788577,0.021621452670788577,True
24,APARTMENTS_MEDI,124732,121276,50.702416181587594,0.09138793573421415,0.06976648306342557,0.021621452670788577,0.021621452670788577,True
25,APARTMENTS_MODE,124732,121276,50.702416181587594,0.09138793573421415,0.06976648306342557,0.021621452670788577,0.021621452670788577,True
26,HOUSETYPE_MODE,123328,122680,50.13170303404767,0.09137422158796056,0.07002771437887186,0.021346507209088705,0.021346507209088705,True
27,ELEVATORS_MODE,131017,114991,53.257211147604956,0.09069052107741743,0.06937934273117026,0.02131117834624717,0.02131117834624717,True
28,ELEVATORS_MEDI,131017,114991,53.257211147604956,0.09069052107741743,0.06937934273117026,0.02131117834624717,0.02131117834624717,True
29,ELEVATORS_AVG,131017,114991,53.257211147604956,0.09069052107741743,0.06937934273117026,0.02131117834624717,0.02131117834624717,True
30,WALLSMATERIAL_MODE,124975,121033,50.80119345712335,0.09117023404680936,0.06994786545818082,0.02122236858862854,0.02122236858862854,True
31,NONLIVINGAREA_MODE,135624,110384,55.129914474326036,0.09024951336046717,0.06903174373097551,0.021217769629491665,0.021217769629491665,True
32,NONLIVINGAREA_AVG,135624,110384,55.129914474326036,0.09024951336046717,0.06903174373097551,0.021217769629491665,0.021217769629491665,True
33,NONLIVINGAREA_MEDI,135624,110384,55.129914474326036,0.09024951336046717,0.06903174373097551,0.021217769629491665,0.021217769629491665,True
34,LIVINGAREA_MODE,123462,122546,50.186172807388374,0.09127504819296625,0.07010428736964079,0.02117076082332546,0.02117076082332546,True
35,LIVINGAREA_AVG,123462,122546,50.186172807388374,0.09127504819296625,0.07010428736964079,0.02117076082332546,0.02117076082332546,True
36,LIVINGAREA_MEDI,123462,122546,50.186172807388374,0.09127504819296625,0.07010428736964079,0.02117076082332546,0.02117076082332546,True
37,BASEMENTAREA_MEDI,143829,102179,58.46517186432961,0.08894590103525715,0.06916293954726509,0.019782961487992065,0.019782961487992065,True
38,BASEMENTAREA_MODE,143829,102179,58.46517186432961,0.08894590103525715,0.06916293954726509,0.019782961487992065,0.019782961487992065,True
39,BASEMENTAREA_AVG,143829,102179,58.46517186432961,0.08894590103525715,0.06916293954726509,0.019782961487992065,0.019782961487992065,True
40,LANDAREA_MEDI,145985,100023,59.341566127930804,0.0879336918176525,0.07021385081431271,0.017719841003339787,0.017719841003339787,True
41,LANDAREA_MODE,145985,100023,59.341566127930804,0.0879336918176525,0.07021385081431271,0.017719841003339787,0.017719841003339787,True
42,LANDAREA_AVG,145985,100023,59.341566127930804,0.0879336918176525,0.07021385081431271,0.017719841003339787,0.017719841003339787,True
43,YEARS_BUILD_AVG,163543,82465,66.47873239894638,0.08661942119198009,0.06904747468623053,0.01757194650574956,0.01757194650574956,True
44,YEARS_BUILD_MODE,163543,82465,66.47873239894638,0.08661942119198009,0.06904747468623053,0.01757194650574956,0.01757194650574956,True
45,YEARS_BUILD_MEDI,163543,82465,66.47873239894638,0.08661942119198009,0.06904747468623053,0.01757194650574956,0.01757194650574956,True
46,FLOORSMIN_MEDI,166921,79087,67.85185847614711,0.08613655561612979,0.06931606964482152,0.016820485971308266,0.016820485971308266,True
47,FLOORSMIN_MODE,166921,79087,67.85185847614711,0.08613655561612979,0.06931606964482152,0.016820485971308266,0.016820485971308266,True
48,FLOORSMIN_AVG,166921,79087,67.85185847614711,0.08613655561612979,0.06931606964482152,0.016820485971308266,0.016820485971308266,True
49,LIVINGAPARTMENTS_MODE,168119,77889,68.33883450944684,0.08602834896710068,0.06929091399299002,0.016737434974110663,0.016737434974110663,True
50,LIVINGAPARTMENTS_MEDI,168119,77889,68.33883450944684,0.08602834896710068,0.06929091399299002,0.016737434974110663,0.016737434974110663,True
51,LIVINGAPARTMENTS_AVG,168119,77889,68.33883450944684,0.08602834896710068,0.06929091399299002,0.016737434974110663,0.016737434974110663,True
52,FONDKAPREMONT_MODE,168215,77793,68.37785763064616,0.08598519751508486,0.06936356741609143,0.016621630098993437,0.016621630098993437,True
53,NONLIVINGAPARTMENTS_MEDI,170729,75279,69.39977561705311,0.08572650223453543,0.06939518325163724,0.01633131898289819,0.01633131898289819,True
54,NONLIVINGAPARTMENTS_MODE,170729,75279,69.39977561705311,0.08572650223453543,0.06939518325163724,0.01633131898289819,0.01633131898289819,True
55,NONLIVINGAPARTMENTS_AVG,170729,75279,69.39977561705311,0.08572650223453543,0.06939518325163724,0.01633131898289819,0.01633131898289819,True
56,COMMONAREA_MEDI,171811,74197,69.839598712237,0.08555913183672757,0.06954459075164764,0.016014541085079936,0.016014541085079936,True
57,COMMONAREA_MODE,171811,74197,69.839598712237,0.08555913183672757,0.06954459075164764,0.016014541085079936,0.016014541085079936,True
58,COMMONAREA_AVG,171811,74197,69.839598712237,0.08555913183672757,0.06954459075164764,0.016014541085079936,0.016014541085079936,True
59,EXT_SOURCE_3,48805,197203,19.838785730545347,0.09277737936686815,0.07774729593363185,0.015030083433236308,0.015030083433236308,True
60,OWN_CAR_AGE,162418,83590,66.02143019739195,0.08483665603566107,0.07274793635602345,0.012088719679637622,0.012088719679637622,True
61,EXT_SOURCE_1,138595,107413,56.33759877727553,0.08524838558389553,0.07489782428570099,0.010350561298194533,0.010350561298194533,True
62,EXT_SOURCE_2,531,245477,0.21584663913368668,0.07721280602636535,0.08073668816223109,-0.0035238821358657413,0.0035238821358657413,True
